location,date,value
Comunitat Valenciana,2020/07,380.29
"Madrid, Comunidad de",2020/07,114.04
Otras Comunidades Autónomas,2020/07,268.45
Andalucía,2020/08,386.57
"Balears, Illes",2020/08,530.07
Canarias,2020/08,340.89
Cataluña,2020/08,435.07
Comunitat Valenciana,2020/08,407.89
"Madrid, Comunidad de",2020/08,82.19
Otras Comunidades Autónomas,2020/08,274.17
Andalucía,2020/09,164.12
"Balears, Illes",2020/09,121.62
Canarias,2020/09,122.28
Cataluña,2020/09,186.98
Comunitat Valenciana,2020/09,162.06
"Madrid, Comunidad de",2020/09,64.37
Otras Comunidades Autónomas,2020/09,143.06
Andalucía,2020/10,151.16
"Balears, Illes",2020/10,82.94
Canarias,2020/10,157.99
Cataluña,2020/10,136.82
Comunitat Valenciana,2020/10,156.56
"Madrid, Comunidad de",2020/10,61.26
Otras Comunidades Autónomas,2020/10,117.75
Andalucía,2020/11,60.62
"Balears, Illes",2020/11,22.56
Canarias,2020/11,198.21
Cataluña,2020/11,44.19
Comunitat Valenciana,2020/11,50.1
"Madrid, Comunidad de",2020/11,56.18
Otras Comunidades Autónomas,2020/11,50.11
Andalucía,2020/12,80.9
"Balears, Illes",2020/12,25.29
Canarias,2020/12,264.19
Cataluña,2020/12,85.01
Comunitat Valenciana,2020/12,74.58
"Madrid, Comunidad de",2020/12,66.7
Otras Comunidades Autónomas,2020/12,100.14
Andalucía,2021/01,48.17
"Balears, Illes",2021/01,15.91
Canarias,2021/01,132.27
Cataluña,2021/01,76.95
Comunitat Valenciana,2021/01,54.33
"Madrid, Comunidad de",2021/01,59.01
Otras Comunidades Autónomas,2021/01,65.23
Andalucía,2021/02,33.13
"Balears, Illes",2021/02,13.51
Canarias,2021/02,105.31
Cataluña,2021/02,54.58
Comunitat Valenciana,2021/02,39
"Madrid, Comunidad de",2021/02,41.98
Otras Comunidades Autónomas,2021/02,34.55
Andalucía,2021/03,46.72
"Balears, Illes",2021/03,62.71
Canarias,2021/03,146.34
Cataluña,2021/03,68.21
Comunitat Valenciana,2021/03,49.21
"Madrid, Comunidad de",2021/03,92.46
Otras Comunidades Autónomas,2021/03,46.91
Andalucía,2021/04,86.6
"Balears, Illes",2021/04,125.71
Canarias,2021/04,142.39
Cataluña,2021/04,89.68
Comunitat Valenciana,2021/04,71.58
"Madrid, Comunidad de",2021/04,87.04
Otras Comunidades Autónomas,2021/04,68.03
Andalucía,2021/05,162.17
"Balears, Illes",2021/05,394.2
Canarias,2021/05,223.64
Cataluña,2021/05,211.29
Comunitat Valenciana,2021/05,153.23
"Madrid, Comunidad de",2021/05,123.22
Otras Comunidades Autónomas,2021/05,123.92
Andalucía,2021/06,303.66
